SongLength,NumInstruments,Genre,Tempo,LyricalContent,ReleasedYear,Popularity
234.3692614,4,Classical,84.77442352,0.152603291,2009,13.6365338
343.8763242,6,Jazz,65.48651503,0.408795818,1980,42.91068906
305.9739591,1,Jazz,164.7528288,0.318432897,1981,48.79088022
158.8975577,4,Pop,186.5650036,0.680594845,1984,68.36200106
294.2792706,4,Country,140.6158705,0.969931444,2015,86.96948888
211.8657453,3,Rap,174.926816,0.563495858,2021,51.80413598
186.7683702,2,Jazz,99.28185572,0.266839654,2003,16.76536148
310.6943534,6,Jazz,129.7164424,0.044765085,1988,27.32392266
267.4510804,6,Jazz,191.0673321,0.878952123,2020,80.22505883
170.3371952,3,Classical,118.7442829,0.015339279,1986,8.984216683
247.0414265,3,Classical,90.39610711,0.936216498,2022,62.20881518
390.3543945,5,Jazz,112.9253066,0.03572261,2001,18.54107417
224.4648496,3,Rock,125.943814,0.029344141,1990,22.80068899
238.1202617,7,Jazz,166.9747337,0.042888036,2002,27.58703208
190.3418396,4,Rap,153.2432819,0.852159284,1987,75.13385767
208.4226122,1,Country,187.5941463,0.916051631,1998,94.45150909
273.1545235,3,Pop,163.6723519,0.564343112,1980,62.75697892
355.8065898,5,Classical,128.5836674,0.223170098,2003,34.00318508
281.8137875,5,Jazz,82.45091737,0.967178273,1980,64.84612225
250.5736695,1,Classical,160.9522652,0.492423086,2007,54.31547122
329.4401362,4,Rock,93.40482429,0.153620381,2001,29.52281172
178.7332493,8,Classical,150.8457757,0.084089652,1990,27.48995163
386.4374256,2,Pop,191.7876492,0.914983095,1983,98.87700552
305.9383461,7,Classical,90.68119214,0.309763528,2012,25.18996391
335.4068219,6,Pop,83.41008822,0.509159814,1989,52.7304033
219.4582249,3,Classical,160.6865087,0.791982832,2007,68.47533486
245.958238,4,Classical,77.91460462,0.056432881,2013,6.687419717
252.9369169,8,Classical,83.88400746,0.325826242,1989,36.41541547
263.4897083,6,Country,75.29702799,0.541330359,1989,40.95402079
314.2994154,3,Classical,74.67916301,0.654899138,1987,49.85774772
328.6489807,6,Country,135.9021351,0.931819268,2001,87.306352
177.8780531,1,Jazz,197.9956064,0.360052556,2003,56.88131965
320.6351197,3,Rap,129.8436278,0.87570433,1981,81.1342224
361.2599122,3,Classical,165.950788,0.009552777,2012,17.42381763
366.0576506,2,Rap,153.9792809,0.116153779,1991,31.0346842
339.6788303,5,Classical,175.8289949,0.851402447,2009,80.79087619
310.2715259,5,Classical,193.3863576,0.415734133,1980,53.67066964
246.2744322,4,Jazz,63.07027594,0.95548813,2000,49.50409821
327.3597162,2,Rock,127.9028991,0.474343051,1981,43.41020708
253.0044347,8,Rock,139.3761422,0.365792519,1988,47.77316849
162.3272468,4,Pop,160.0172034,0.106348666,1986,24.33709175
352.099337,3,Classical,99.62193243,0.359274412,2017,30.61152734
208.3490674,4,Jazz,176.140947,0.998289163,1980,85.28987045
154.5581457,6,Jazz,161.5130355,0.203078048,2005,39.06759102
242.4721564,5,Rap,95.65850153,0.867096492,2014,61.65710959
260.0381234,8,Country,144.4901114,0.785833025,1982,69.36931482
199.8049215,9,Jazz,91.42928211,0.696916545,2020,56.15391138
326.2847864,1,Rap,95.07088974,0.913415834,1981,74.9293354
263.5943336,7,Pop,175.4005826,0.013092496,2001,30.35177452
382.9384299,8,Rock,160.6039741,0.185802393,2014,42.58250235
196.433268,4,Classical,192.9019002,0.461528108,1980,62.99021268
296.9488513,8,Pop,134.4575152,0.992854583,1993,87.49407144
312.1161392,1,Rock,129.285245,0.395955551,1996,54.83414819
383.4038445,6,Jazz,111.4452847,0.166522679,1991,28.37333115
337.7349496,5,Rap,151.3077847,0.718814723,1992,74.05719401
239.8347476,4,Country,142.6469922,0.13275431,2001,21.40906748
279.6752486,4,Jazz,114.094046,0.364468859,2014,37.17241045
290.6721889,4,Classical,80.26745038,0.291495313,2000,23.48758194
271.9069524,4,Classical,69.72538412,0.228394338,1983,12.69209801
288.1252419,4,Country,99.64565805,0.752639559,2013,62.56993462
225.2408917,4,Rock,152.162123,0.35068649,1999,47.89392139
218.7239146,9,Jazz,74.09810047,0.451566714,2014,32.11703499
286.027156,2,Classical,116.9390459,0.541273047,2006,53.303152
338.8877846,1,Country,64.14954164,0.336775217,1999,24.45898463
310.8944238,6,Rap,177.3060071,0.318251781,1990,46.91965971
384.0313929,2,Rap,77.95883518,0.219564392,2015,20.81213775
236.2980521,7,Classical,72.81759182,0.835645938,2022,56.18635588
342.1169489,1,Classical,180.4815116,0.773617416,1984,76.17913025
377.8354541,9,Jazz,98.15707457,0.839453716,1992,60.96743002
274.384963,5,Pop,65.87363998,0.561484566,1986,41.58176855
399.698234,8,Country,168.3158388,0.207303904,2016,38.72699899
380.6248453,2,Jazz,132.8404223,0.483655516,2016,48.34965918
228.4688742,1,Classical,175.7688512,0.873823016,1983,82.40408223
187.8987687,9,Classical,165.2262767,0.297462777,2004,38.44394639
396.2146007,3,Classical,144.9068986,0.704040987,2010,68.26540369
160.0813099,8,Rap,190.7484141,0.982506477,1981,94.69330695
384.2074348,8,Country,117.5068816,0.577678593,2000,53.19904234
237.9274545,9,Pop,189.7507184,0.542241606,1984,60.81362432
167.4654802,1,Rock,191.2495314,0.802456104,2013,83.60386119
390.8486086,5,Pop,92.92950139,0.699323395,2007,57.01960051
293.887377,5,Rock,76.3477567,0.094738968,2014,9.967867856
193.8428197,9,Country,94.23833713,0.45998379,2013,20.03424713
274.5832571,5,Classical,151.0414831,0.118943925,1982,23.93041148
287.6658449,5,Country,135.3492442,0.726646027,2016,66.78188663
279.5038372,7,Rock,153.6528426,0.009950909,2016,30.46228386
242.11223,5,Classical,132.3155055,0.768008139,1998,65.8129647
237.6301336,1,Rock,100.8270645,0.483435058,2005,42.11436285
376.5217651,9,Country,157.3423795,0.553501873,1999,66.4416037
281.3401205,9,Pop,84.30044706,0.455697426,2000,37.27910329
275.9721992,1,Pop,61.17718032,0.523292756,2013,35.93223789
219.9003582,5,Country,174.0393891,0.654365366,1981,68.09280718
375.3148019,4,Rap,76.82167932,0.548691266,2002,42.22201606
274.0548699,8,Country,163.0926495,0.228131933,1987,41.66805384
341.7970722,5,Rock,174.8309677,0.187531147,2017,36.35655223
260.6363787,5,Rap,81.60040608,0.204215428,2018,19.35311062
265.9954245,3,Country,62.88584224,0.309183399,2017,17.21711825
353.5521918,3,Rap,133.3969022,0.65431407,2007,65.57075211
364.1824866,8,Pop,68.8975678,0.160434198,1986,18.59033337
248.4204715,9,Pop,111.1663067,0.205492414,1981,26.25546532
260.5984352,1,Rap,72.73247356,0.638060381,2011,41.90828125
158.3831087,4,Classical,144.0837735,0.945299904,2020,74.57554003
364.4837285,8,Pop,124.1921288,0.167236129,1987,35.32931584
226.9197724,8,Country,187.506496,0.4040826,2000,58.9937532
394.0195831,6,Country,114.2472008,0.749346514,2012,72.11820236
